Latitude,Longitude,Slide_Name,State,Material Involved,Movement Type,Initiation_Year,History_date
9.177086,76.863,Mlaanthadam slide,Kerala,Soil,Slide,0,
9.178389,76.879028,Kottarathara Debris Flow,Kerala,Debris,Flow,2013,
9.183183,76.888167,Aruvpallam Debris Flow -1,Kerala,Debris,Flow,1977,
9.18425,76.887844,Aruvpallam Debris Flow -2,Kerala,Debris,Flow,1977,
9.184814,76.869028,Chuvattupara cut slope failure,Kerala,Soil,Slide,0,
9.233194,76.935817,Manniara Slump,Kerala,Soil,Slide,2006,
9.2339,76.933897,Manniara Debris Flow,Kerala,Debris,Flow,2006,
9.260186,76.962403,Thannithodu slide 2,Kerala,Debris,Slide,0,
9.268942,76.968072,Thannithodu slide,Kerala,Debris,Slide,0,
9.269308,76.96805,Mele Poochakkulam  2,Kerala,Debris,Flow,0,
9.272417,76.969258,Mele Poochakkulam 1,Kerala,Debris,Flow,0,
9.298778,76.801817,Mannarakulanji  slide,Kerala,Debris,Slide,0,
9.30035,76.997306,Mundanpara slide 1,Kerala,Debris,Flow,0,
9.301225,76.985617,Mundanpara slide 2,Kerala,Debris,Slide,0,
9.301731,76.980503,Valiyakulangara valley slide 1,Kerala,Debris,Flow,0,
9.302208,76.979242,Valiyakulangara valley slide 2,Kerala,Debris,Flow,0,
9.302861,76.977833,Valiyakulangara valley slide 3,Kerala,Debris,Flow,0,
9.303428,76.990983,Mundanpara slide 4,Kerala,Debris,Flow,0,
9.304333,76.990425,Mundanpara slide 3,Kerala,Debris,Flow,0,
9.304603,76.988392,Mundanpara slide 5,Kerala,Debris,Slide,0,
9.305169,76.987244,Mundanpara slide 6,Kerala,Debris,Flow,0,
9.309878,76.961369,Valiyakulangara valley slide 4,Kerala,Soil,Slide,0,
9.31,77.1,Gavi,Kerala,Debris,Slide,2019,
9.310506,76.996892,22nd Block slide,Kerala,Debris,Flow,0,
9.310961,76.979619,Mundanpara slide 7,Kerala,Debris,Flow,0,
9.313472,76.990539,Anachanda slide 2,Kerala,Debris,Flow,0,
9.313819,76.956094,Transformer Padi slide,Kerala,Debris,Flow,0,
9.31495,76.986872,Anachantha slide,Kerala,Debris,Flow,0,
9.31625,76.949881,Meenkuzhi slide,Kerala,Debris,Slide,0,
9.316964,76.743289,Punnassery colony rock fall,Kerala,Rock,Fall,0,
9.319214,76.952022,Meenkuzhi slide,Kerala,Debris,Flow,0,
9.32,77.1,Gavi,Kerala,Debris,Slide,2019,
9.32,77.1,Gavi,Kerala,Debris,Flow,2019,
9.3212,77.003772,4th block slides,Kerala,Debris,Slide,0,
9.321517,76.961139,Thekkummood slide,Kerala,Debris,Flow,0,
9.324292,76.878439,Maniyar slide 2,Kerala,Soil,Slide,0,
9.324669,76.874817,Maniyar slide 1,Kerala,Soil,Slide,0,
9.326661,76.986664,Seethathodu East slide,Kerala,Debris,Slide,0,
9.327389,76.958711,Moonnukallu slide,Kerala,Debris,Flow,0,
9.328972,76.954578,86 block slide,Kerala,Debris,Flow,0,
9.332481,76.920175,Koothattukulam slide 2,Kerala,Debris,Slide,0,
9.332681,76.919267,Koothattukulam slide 1,Kerala,Debris,Slide,0,
9.335494,76.995597,Kochukoikkal slide,Kerala,Rock,Flow,0,
9.340931,76.850644,Pezhumpara slide,Kerala,Debris,Slide,0,
9.343592,76.933786,Bimmaram colony slide 3,Kerala,Debris,Flow,0,
9.343594,76.935444,Bimmaram colony slide 2,Kerala,Debris,Flow,0,
9.34365,76.940406,Bimmaram colony slide 1,Kerala,Rock,Flow,0,
9.347475,76.918508,Harrisons plantation slide,Kerala,Debris,Flow,0,
9.411836,76.973325,Kollamula slide 2,Kerala,Soil,Slide,0,
9.418431,76.965742,Kollamula slide 3,Kerala,Soil,Slide,0,
9.437264,76.868906,Kollamula slide 1,Kerala,Debris,Slide,0,
9.45,77.37,Sastha kovil west debris flow,Tamil Nadu,Debris,Flow,2018,
9.50805,76.981387,Vellani,Kerala,Debris,Flow,0,
9.516939,76.982494,Vellani,Kerala,Debris,Flow,0,
9.517495,76.983326,Vellani,Kerala,Debris,Flow,0,
9.51972,76.983047,Kanayankavayal,Kerala,Debris,Flow,0,
9.526361,76.980418,Cheruvallikulam,Kerala,Debris,Slide,0,
9.53,77.4,,Tamil Nadu,Soil,Slide,0,
9.530667,76.965462,Thekkemala,Kerala,Debris,Slide,0,
9.531556,76.960131,Thekkemala,Kerala,Debris,Flow,0,
9.536662,76.981105,Cheruvallikulam,Kerala,Debris,Flow,0,
9.54,77.37,,Tamil Nadu,Soil,Slide,0,
9.55,77.38,,Tamil Nadu,Soil,Slide,0,
9.556714,76.972888,Murinjapuzha,Kerala,Debris,Slide,0,
9.557969,76.97305,Murinjapuzha,Kerala,Debris,Slide,0,
9.558774,76.995185,Plakathadam,Kerala,Debris,Flow,0,
9.565965,76.943333,Meloram,Kerala,Debris,Slide,0,
9.567761,76.950283,Azhanganad,Kerala,Debris,Flow,0,
9.57,77.4,,Tamil Nadu,Soil,Slide,0,
9.572091,76.998014,Ambalamkunnu,Kerala,Debris,Slide,0,
9.57226,76.942849,Meloram,Kerala,Debris,Flow,0,
9.5725,77.09172,Vandiperiyar Landslide,Kerala,Debris,Slide,2011,
9.572847,76.949283,Azhanganad,Kerala,Debris,Flow,0,
9.576489,76.941443,Azhanganad,Kerala,Debris,Flow,0,
9.59,77.41,,Tamil Nadu,Soil,Slide,0,
9.608653,77.146307,Chottupara,Kerala,Debris,Slide,0,
9.608653,77.146307,66th Mile-II,Kerala,Debris,Slide,0,
